Dist Name,Indicator 1 Definition,Indicator 2,Prov Name,Continuous 1,Geometry,Latitude (generated),Longitude (generated)
Zurmat,Number of persons excluding nomadic population (according to official estimates),,Paktya,"111,604.00",Polygon,33.42246695,69.0171918
Zindajan,Number of persons excluding nomadic population (according to official estimates),,Hirat,"59,278.00",Polygon,34.26493781,61.81724558
Zhiray,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"89,039.00",Polygon,31.65940036,65.38371034
Zerok,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"20,003.00",Polygon,33.15835931,69.30563762
Zebak,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"8,172.00",Polygon,36.36130307,71.27231157
Zari,Number of persons excluding nomadic population (according to official estimates),,Balkh,"45,496.00",Polygon,35.86043695,66.7145572
Zarghonshahr,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"30,980.00",Polygon,32.87495863,68.4423568
Zaranj,Number of persons excluding nomadic population (according to official estimates),,Nemroz,"59,308.00",Polygon,30.90481839,62.04547252
Zanakhan,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"13,051.00",Polygon,33.67899388,68.64864485
Zadran,Number of persons excluding nomadic population (according to official estimates),,Paktya,"36,836.00",Polygon,33.4162155,69.42452244
Yosufkhel,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"14,027.00",Polygon,33.03641335,68.65788908
Yawan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"33,664.00",Polygon,37.51460088,70.38824284
Yangiqala,Number of persons excluding nomadic population (according to official estimates),,Takhar,"46,384.00",Polygon,37.45557204,69.66075595
Yamgan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"26,712.00",Polygon,36.4320538,70.78459974
Yakawlang,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"63,181.00",Polygon,35.03994765,66.99487095
Yahyakhel,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"18,052.00",Polygon,32.90598528,68.63903097
Yaftal-e-Sufla,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"54,765.00",Polygon,37.29250624,70.36164854
Wormamay,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"3,660.00",Polygon,31.96290387,68.80905903
Wazakhah,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"24,028.00",Polygon,32.22364951,68.27719974
Waygal,Number of persons excluding nomadic population (according to official estimates),,Noristan,"20,369.00",Polygon,35.18141321,70.99713846
Watapor,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"28,419.00",Polygon,34.9720289,71.07946396
Washer,Number of persons excluding nomadic population (according to official estimates),,Hilmand,"16,222.00",Polygon,32.0656609,63.93851055
Warsaj,Number of persons excluding nomadic population (according to official estimates),,Takhar,"39,397.00",Polygon,36.10468411,70.15858254
Warduj,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"22,686.00",Polygon,36.79087423,71.14293976
Waras,Number of persons excluding nomadic population (according to official estimates),,Bamyan,"113,190.00",Polygon,34.16320785,66.93011191
Wama,Number of persons excluding nomadic population (according to official estimates),,Noristan,"11,466.00",Polygon,35.10736777,70.71928794
Walemuhammad-e- Shahed,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"20,857.00",Polygon,33.56402821,68.30952888
Wakhan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"15,490.00",Polygon,37.03094777,73.22008463
Waghaz,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"40,006.00",Polygon,33.42053716,68.22615712
Urgun,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"57,326.00",Polygon,32.9633439,69.20672684
Turwo,Number of persons excluding nomadic population (according to official estimates),,Pakteka,"2,196.00",Polygon,31.88646583,68.40539125
Tolak,Number of persons excluding nomadic population (according to official estimates),,Ghor,"53,424.00",Polygon,34.00332503,63.67579891
Tirezayi,Number of persons excluding nomadic population (according to official estimates),,Khost,"46,349.00",Polygon,33.38229172,70.12728485
Tirenkot,Number of persons excluding nomadic population (according to official estimates),,Uruzgan,"106,657.00",Polygon,32.65495969,65.84992426
Teshkan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"30,980.00",Polygon,36.80086216,70.36634833
Taywarah,Number of persons excluding nomadic population (according to official estimates),,Ghor,"94,893.00",Polygon,33.51412353,64.4010504
Tarnak Wa Jaldak,Number of persons excluding nomadic population (according to official estimates),,Zabul,"17,808.00",Polygon,31.90515103,66.51603033
Tani,Number of persons excluding nomadic population (according to official estimates),,Khost,"61,840.00",Polygon,33.20465186,69.7355462
Taluqan,Number of persons excluding nomadic population (according to official estimates),,Takhar,"235,726.00",Polygon,36.74272204,69.52311621
Tala Wa Barfak,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"31,347.00",Polygon,35.23866084,68.3428492
Tagab,Number of persons excluding nomadic population (according to official estimates),,Kapisa,"83,916.00",Polygon,34.80365928,69.64952872
Tagab,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"29,152.00",Polygon,36.47976446,70.34194902
Surkhrod,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"125,021.00",Polygon,34.42067566,70.31761718
Surkh-e- Parsa,Number of persons excluding nomadic population (according to official estimates),,Parwan,"42,446.00",Polygon,34.7429862,68.64335482
Spera,Number of persons excluding nomadic population (according to official estimates),,Khost,"25,248.00",Polygon,33.16274972,69.46938186
Spenboldak,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"104,408.00",Polygon,30.95222169,66.13540663
Sozmaqala,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"51,350.00",Polygon,36.04288065,66.20713049
Shutul,Number of persons excluding nomadic population (according to official estimates),,Panjsher,"11,344.00",Polygon,35.28916058,69.30046102
Shumulzay,Number of persons excluding nomadic population (according to official estimates),,Zabul,"26,834.00",Polygon,31.83488765,67.77662082
Shuhada,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"35,860.00",Polygon,37.06109143,71.18592784
